Transaction_ID,Date,Category,Merchant,Amount,Payment_Method,City,User_ID
TXN00001,2024-02-19,Groceries,Whole Foods,69.49,Debit Card,New York,1020
TXN00002,2024-04-23,Travel,Delta,157.93,Credit Card,New York,1019
TXN00003,2024-04-16,Travel,Airbnb,117.45,Credit Card,Dallas,1017
TXN00004,2024-03-31,Gas,Shell,97.26,Credit Card,New York,1009
TXN00005,2024-03-02,Healthcare,Walgreens,243.09,Debit Card,Dallas,1018
TXN00006,2024-01-26,Travel,Delta,38.17,Debit Card,New York,1012
TXN00007,2024-02-26,Healthcare,HealthPlus,72.95,Debit Card,San Francisco,1007
TXN00008,2024-01-03,Groceries,Kroger,208.63,Credit Card,Chicago,1003
TXN00009,2024-03-26,Healthcare,CVS,72.63,Credit Card,Seattle,1003
TXN00010,2024-03-06,Healthcare,Walgreens,19.54,Debit Card,Chicago,1017
TXN00011,2024-02-05,Utilities,AT&T,72.89,Debit Card,Chicago,1011
TXN00012,2024-01-03,Groceries,Walmart,89.3,Debit Card,San Francisco,1006
TXN00013,2024-03-23,Utilities,Comcast,46.81,Credit Card,San Francisco,1000
TXN00014,2024-02-08,Utilities,AT&T,180.58,Credit Card,Dallas,1003
TXN00015,2024-03-03,Entertainment,Netflix,227.39,Debit Card,Dallas,1000
TXN00016,2024-02-26,Rent,Zillow Rentals,1210.08,Credit Card,New York,1001
TXN00017,2024-02-03,Gas,Chevron,36.03,Credit Card,Chicago,1014
TXN00018,2024-02-18,Utilities,TXU Energy,204.31,Debit Card,Chicago,1009
TXN00019,2024-01-18,Travel,Airbnb,44.3,Credit Card,Dallas,1006
TXN00020,2024-02-28,Restaurants,Chipotle,58.95,Credit Card,New York,1010
TXN00021,2024-03-19,Travel,Uber,142.97,Credit Card,San Francisco,1008
TXN00022,2024-03-08,Rent,Zillow Rentals,1292.6,Credit Card,Chicago,1011
TXN00023,2024-03-07,Shopping,Target,150.75,Credit Card,Chicago,1014
TXN00024,2024-01-11,Restaurants,Chipotle,166.47,Credit Card,San Francisco,1020
TXN00025,2024-02-29,Utilities,TXU Energy,90.49,Credit Card,Dallas,1001
TXN00026,2024-03-01,Groceries,Walmart,40.13,Debit Card,Dallas,1007
TXN00027,2024-02-25,Utilities,Comcast,189.14,Credit Card,San Francisco,1015
TXN00028,2024-03-10,Gas,Chevron,161.34,Credit Card,New York,1012
TXN00029,2024-04-27,Shopping,Target,100.42,Debit Card,San Francisco,1014
TXN00030,2024-04-04,Shopping,Amazon,203.14,Debit Card,San Francisco,1010
TXN00031,2024-03-24,Utilities,AT&T,30.3,Credit Card,Seattle,1003
TXN00032,2024-03-05,Shopping,eBay,162.6,Credit Card,San Francisco,1020
TXN00033,2024-01-20,Gas,Shell,84.32,Debit Card,New York,1017
TXN00034,2024-01-17,Gas,Chevron,232.15,Credit Card,New York,1004
TXN00035,2024-01-30,Shopping,Amazon,25.25,Debit Card,Seattle,1003
TXN00036,2024-04-17,Restaurants,McDonalds,10.83,Credit Card,New York,1012
TXN00037,2024-02-06,Gas,Chevron,232.94,Debit Card,Dallas,1020
TXN00038,2024-02-22,Travel,Uber,25.9,Credit Card,Chicago,1010
TXN00039,2024-02-17,Restaurants,Chipotle,67.76,Credit Card,Seattle,1006
TXN00040,2024-01-27,Shopping,Target,89.91,Credit Card,New York,1002
TXN00041,2024-03-05,Utilities,TXU Energy,225.87,Credit Card,Chicago,1013
TXN00042,2024-01-30,Travel,Delta,102.87,Debit Card,San Francisco,1000
TXN00043,2024-02-22,Gas,Chevron,213.35,Debit Card,Chicago,1014
TXN00044,2024-01-07,Rent,Apartments.com,1352.13,Credit Card,Seattle,1009
TXN00045,2024-04-21,Utilities,TXU Energy,179.73,Debit Card,Seattle,1003
TXN00046,2024-02-09,Gas,Shell,102.13,Credit Card,Dallas,1008
TXN00047,2024-02-21,Travel,Uber,200.36,Credit Card,Dallas,1016
TXN00048,2024-04-24,Travel,Delta,72.24,Debit Card,New York,1005
TXN00049,2024-04-01,Healthcare,CVS,125.85,Debit Card,San Francisco,1018
